partition,client_id,mean_effective_lambda,observations,mean_reliability,mean_prediction_entropy
iid,0,0.79485288337564,3,0.7969762172017779,0.9804663424501223
iid,1,0.6939334785266665,1,0.6959874204226902,0.9788762909540479
iid,2,0.7738016827200965,3,0.7760388283502487,0.9792374477537188
iid,3,0.8189261669024573,4,0.8222404973847526,0.9738004304975609
iid,4,0.7749424291725592,1,0.7774399093219212,0.9775501162639536
iid,5,0.750210658040891,1,0.7525711570467267,0.9779295969641711
iid,6,0.7503686954274617,3,0.7531270697003318,0.975412163046271
iid,7,0.8049598155145552,4,0.8067720447267804,0.9827734628005966
iid,8,0.7298185747341466,1,0.7319493549210685,0.979084215642427
iid,9,0.7578936380705827,2,0.7597330127443587,0.981744783316554
iid,10,0.7675066859373866,3,0.7691956417901175,0.9830973567009528
iid,11,0.8133569329678663,4,0.8158111103943416,0.9787059248744328
iid,12,0.781023597279252,4,0.7836644841091973,0.9768144889563688
iid,13,0.7786261623345765,2,0.7810532876423426,0.978078946297346
iid,14,0.7577570238184558,3,0.7592895371573313,0.9841242925595234
iid,15,0.7998475692127011,6,0.8021389146645864,0.9794017845294966
iid,16,0.790260262791687,3,0.7937687465122768,0.9721683868529238
iid,17,0.7170320360308287,1,0.7189043079103742,0.9807241903122053
iid,18,0.7636117029855625,5,0.7660262073789323,0.9778277014006953
iid,19,0.7538865616838303,2,0.7564625612327031,0.9765994564758651
iid,21,0.7694615535897739,6,0.7719662558464777,0.9775132896367525
iid,22,0.8204507595658349,3,0.8229313436008635,0.9785588685961321
iid,23,0.7978742167054598,4,0.8010845695223128,0.9738134762835725
iid,24,0.7435123394382935,2,0.7457721318517412,0.978482169797178
iid,25,0.7997035278307998,2,0.801553990159716,0.982386221725535
iid,26,0.8210474878617235,4,0.8235430270433426,0.9785004732253519
iid,27,0.82315868782959,3,0.8259851450011843,0.976541256264409
iid,28,0.8216426526149008,4,0.8240718415805273,0.9788928790723509
iid,29,0.8015073677868809,2,0.8039761015347072,0.9782526560557667
iid,30,0.7797403142271415,3,0.7828408366157896,0.9740759292784458
iid,31,0.8157237769699215,3,0.8180061805815924,0.9797429537735427
iid,32,0.8121856430070262,2,0.8140246910708291,0.9827089811857912
iid,33,0.73458245772375,1,0.7364767449242728,0.980901543548683
iid,34,0.8089663235438268,4,0.811039081641606,0.9810449834144093
iid,35,0.7517215063096373,4,0.7538412788084574,0.9796168040633584
iid,36,0.8013545043569927,4,0.8034529643399374,0.9807522742235677
iid,37,0.8494651221732605,7,0.8518462837958822,0.9797228689006515
iid,38,0.8080387122111035,4,0.8108923243624824,0.9760815565110497
iid,39,0.8037787602308035,3,0.8070970830463229,0.973396052664166
iid,40,0.7732026953375319,2,0.776522832257407,0.9726416084084186
iid,41,0.7834982408941666,3,0.7855907394772483,0.980385927864866
iid,43,0.7322881243807372,1,0.7348221966198513,0.9763962978130678
iid,44,0.8233037641472236,4,0.8252896815538406,0.981866033862874
iid,45,0.7845669178168622,4,0.787223098533494,0.9767944242507707
iid,46,0.7709638136370798,4,0.7731137509856906,0.979803932214204
iid,47,0.8010320399359367,2,0.8035377519471305,0.9780162061079037
iid,48,0.7588872220211456,4,0.7613454865557807,0.9774799131504253
iid,49,0.8304613685806049,6,0.8333149396237873,0.9767299398871957
iid,50,0.8394425558217604,4,0.8426431843212674,0.9747888114698054
iid,51,0.789239258221622,2,0.7911208357129778,0.9819871913654691
iid,52,0.7783956215613005,3,0.7805513909884861,0.9798747733840486
iid,53,0.7701270339237389,4,0.7728900547538484,0.9758205171180124
iid,54,0.7867326826143072,1,0.7898757968630109,0.9739404557653722
iid,56,0.8119944483363428,4,0.814863920211792,0.9760732474891065
iid,57,0.8076861303012913,4,0.8101972533123833,0.9782075122395342
iid,58,0.8242975179648879,3,0.827142445814042,0.9765082769624662
iid,59,0.7131822515601138,1,0.7157418216977801,0.9757893105320402
iid,60,0.7918878595200488,5,0.7949389066014971,0.974609078914576
iid,61,0.7484320675683674,1,0.7500705804143634,0.9831144502445772
iid,62,0.8000425988802905,4,0.8015328730855669,0.985173676190466
iid,63,0.7364668203848247,3,0.7386342258680435,0.9789852538749276
