section,dataset,setting,partition,method,last_window_accuracy,source
Model (IID),CIFAR-100,ResNet18,IID,Plain,70.33600000000001,logs/reliability/logs_iid_fedavg_compare/iid/fedavg/plain_baseline.pkl
Model (IID),CIFAR-100,ResNet18,IID,Fixed \lambda=0.3,72.679,logs/lambda/analysis/logs_cifar100_fixed_lambda_t1_compact/iid/fedavg/fixed_lambda0p30_tkd1p00.pkl
Model (IID),CIFAR-100,ResNet18,IID,Adaptive,72.21,logs/lambda/adaptive/logs_soft_adaptive_tuning_stage1/iid/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85.pkl
Model (IID),CIFAR-100,MobileNetV2,IID,Plain,60.698666666666654,logs/lambda/adaptive/logs_extension_completion/mobilenet/iid/fedavg/plain_r500.pkl
Model (IID),CIFAR-100,MobileNetV2,IID,Fixed \lambda=0.3,61.72733333333333,logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/mobilenet/iid/fedavg/fixed_lambda0p30_tkd1p00_r500.pkl
Model (IID),CIFAR-100,MobileNetV2,IID,Adaptive,62.16466666666666,logs/lambda/adaptive/logs_extension_completion/mobilenet/iid/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85_r500.pkl
FL algorithm,CIFAR-100,FedAvg,"mean(beta=0.5,beta=0.3)",Plain,66.32366666666667,logs/baseline/logs_plain_baseline_compare/beta_0.5/fedavg/baseline.pkl | logs/baseline/logs_plain_baseline_compare/beta_0.3/fedavg/baseline.pkl
FL algorithm,CIFAR-100,FedAvg,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,67.15683333333334,logs/lambda/analysis/logs_cifar100_fixed_lambda_t1_compact/beta_0.5/fedavg/fixed_lambda0p30_tkd1p00.pkl | logs/lambda/analysis/logs_cifar100_fixed_lambda_t1_compact/beta_0.3/fedavg/fixed_lambda0p30_tkd1p00.pkl
FL algorithm,CIFAR-100,FedAvg,"mean(beta=0.5,beta=0.3)",Adaptive,67.29716666666667,logs/lambda/adaptive/logs_soft_adaptive_tuning_stage1/beta_0.5/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85.pkl | logs/lambda/adaptive/logs_soft_adaptive_tuning_stage1/beta_0.3/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85.pkl
FL algorithm,CIFAR-100,FedProx,"mean(beta=0.5,beta=0.3)",Plain,66.82249999999999,logs/lambda/adaptive/logs_extension_completion/fedprox/beta_0.5/fedavg/plain_r500.pkl | logs/lambda/adaptive/logs_extension_completion/fedprox/beta_0.3/fedavg/plain_r500.pkl
FL algorithm,CIFAR-100,FedProx,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,67.88283333333334,logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/fedprox/beta_0.5/fedavg/fixed_lambda0p30_tkd1p00_r500.pkl | logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/fedprox/beta_0.3/fedavg/fixed_lambda0p30_tkd1p00_r500.pkl
FL algorithm,CIFAR-100,FedProx,"mean(beta=0.5,beta=0.3)",Adaptive,67.99383333333333,logs/lambda/adaptive/logs_soft_adaptive_extensions_no_warmup_fixed/fedprox/beta_0.5/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85_r500.pkl | logs/lambda/adaptive/logs_extension_completion/fedprox/beta_0.3/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85_r500.pkl
FL algorithm,CIFAR-100,MOON,"mean(beta=0.5,beta=0.3)",Plain,66.24316666666667,logs/lambda/adaptive/logs_extension_completion/moon/beta_0.5/fedavg/plain_r500.pkl | logs/lambda/adaptive/logs_extension_completion/moon/beta_0.3/fedavg/plain_r500.pkl
FL algorithm,CIFAR-100,MOON,"mean(beta=0.5,beta=0.3)",Fixed \lambda=0.3,67.36916666666667,logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/moon/beta_0.5/fedavg/fixed_lambda0p30_tkd1p00_r500.pkl | logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/moon/beta_0.3/fedavg/fixed_lambda0p30_tkd1p00_r500.pkl
FL algorithm,CIFAR-100,MOON,"mean(beta=0.5,beta=0.3)",Adaptive,67.04599999999999,logs/lambda/adaptive/logs_soft_adaptive_extensions_no_warmup_fixed/moon/beta_0.5/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85_r500.pkl | logs/lambda/adaptive/logs_extension_completion/moon/beta_0.3/fedavg/soft_b_tkd1p00_lmax1p00_warm250_tau0p85_r500.pkl
Model (IID),TinyImageNet,ResNet18,IID,Plain,41.297999999999995,logs/lambda/adaptive/logs_extension_completion/tinyimagenet/iid/fedavg/plain_r100.pkl
Model (IID),TinyImageNet,ResNet18,IID,Fixed \lambda=0.3,45.582,logs/lambda/adaptive/logs_extension_fixed_lambda_competitors/tinyimagenet/iid/fedavg/fixed_lambda0p30_tkd1p00_r100.pkl
Model (IID),TinyImageNet,ResNet18,IID,Adaptive,46.15066666666667,logs/lambda/adaptive/logs_extension_short_horizon_warmup50/tinyimagenet/iid/fedavg/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
Model (IID),TinyImageNet,MobileNetV2,IID,Plain,31.30766666666667,logs/lambda/adaptive/logs_final_extension_matrix/model/mobilenet/tinyimagenet/iid/mobilenet/plain_r100.pkl
Model (IID),TinyImageNet,MobileNetV2,IID,Fixed \lambda=0.3,29.56666666666667,logs/lambda/adaptive/logs_final_extension_matrix/model/mobilenet/tinyimagenet/iid/mobilenet/fixed_lambda0p30_tkd1p00_r100.pkl
Model (IID),TinyImageNet,MobileNetV2,IID,Adaptive,30.279333333333334,logs/lambda/adaptive/logs_final_extension_matrix/model/mobilenet/tinyimagenet/iid/mobilenet/soft_b_tkd1p00_lmax1p00_warm50_tau0p85_r100.pkl
FL algorithm,TinyImageNet,FedAvg,"mean(beta=0.5,beta=0.3)",Plain,38.959833333333336,logs/lambda/adaptive/logs_extension_completion/tinyimagenet/beta_0.5/fedavg/plain_r100.pkl | logs/lambda/adaptive/logs_extension_completion/tinyimagenet/beta_0.3/fedavg/plain_r100.pkl
